等级,臂力,灵巧,体魄,内息,罡气,气血,内力,外功,内功,外防,内防,外防穿透,内防穿透,外暴击,内暴击,抗外暴,抗内暴,命中,闪避,攻击速度,福缘,移动速度,气血恢复速度,内力恢复速度
52,52,52,52,52,52,10714,7247,0,688,0,3533,0,368,0,2629,477,596,1211,2806,0.65,571,400,112,56
53,53,53,53,53,53,11242,7604,0,721,0,3650,0,382,0,2700,490,613,1241,2873,0.65,584,400,114,57
54,54,54,54,54,54,11795,7979,0,756,0,3770,0,397,0,2771,504,631,1272,2940,0.65,598,400,116,58
55,55,55,55,55,55,12374,8370,0,793,0,3892,0,411,0,2843,519,649,1303,3009,0.65,612,400,118,59
56,56,56,56,56,56,12980,8781,0,831,0,4016,0,426,0,2916,533,667,1335,3078,0.65,626,400,120,60
57,57,57,57,57,57,13615,9210,0,871,0,4144,0,442,0,2990,548,685,1367,3147,0.65,640,400,122,61
58,58,58,58,58,58,14279,9659,0,913,0,4274,0,458,0,3065,563,704,1399,3218,0.65,654,400,124,62
59,59,59,59,59,59,14975,10130,0,958,0,4406,0,474,0,3141,579,723,1432,3289,0.65,668,400,126,63
60,60,60,60,60,60,15704,10623,0,1004,0,4541,0,491,0,3219,594,743,1466,3361,0.65,683,400,128,64
61,61,61,61,61,61,16466,11138,0,1052,0,4680,0,509,0,3297,610,763,1499,3434,0.65,697,400,130,65
62,62,62,62,62,62,17264,11678,0,1103,0,4820,0,526,0,3377,626,783,1534,3508,0.65,712,400,132,66
63,63,63,63,63,63,18098,12243,0,1156,0,4964,0,545,0,3457,643,804,1568,3583,0.65,726,400,134,67
64,64,64,64,64,64,18971,12833,0,1212,0,5111,0,564,0,3539,659,824,1603,3658,0.65,741,400,136,68
65,65,65,65,65,65,19885,13451,0,1271,0,5260,0,583,0,3621,677,846,1639,3734,0.65,756,400,138,69
66,66,66,66,66,66,20840,14097,0,1332,0,5413,0,603,0,3705,694,867,1675,3811,0.65,771,400,140,70
67,67,67,67,67,67,21839,14773,0,1396,0,5568,0,623,0,3790,711,889,1711,3889,0.65,787,400,142,71
68,68,68,68,68,68,22883,15480,0,1464,0,5727,0,644,0,3876,729,912,1748,3968,0.65,802,400,144,72
69,69,69,69,69,69,23976,16219,0,1534,0,5889,0,665,0,3964,747,934,1786,4047,0.65,817,400,146,73
70,70,70,70,70,70,25118,16991,0,1608,0,6054,0,687,0,4052,766,958,1824,4128,0.65,833,400,148,74
71,71,71,71,71,71,26311,17799,0,1685,0,6222,0,710,0,4142,785,981,1862,4209,0.65,849,400,150,75
72,72,72,72,72,72,27559,18643,0,1766,0,6394,0,733,0,4233,804,1005,1901,4291,0.65,864,400,152,76
73,73,73,73,73,73,28862,19524,0,1851,0,6569,0,757,0,4325,823,1029,1940,4374,0.65,880,400,154,77
74,74,74,74,74,74,30224,20446,0,1940,0,6747,0,781,0,4418,843,1054,1980,4458,0.65,896,400,156,78
75,75,75,75,75,75,31647,21408,0,2033,0,6929,0,806,0,4512,863,1079,2021,4543,0.65,913,400,158,79
76,76,76,76,76,76,33134,22414,0,2131,0,7115,0,832,0,4608,884,1105,2061,4628,0.65,929,400,160,80
77,77,77,77,77,77,34686,23464,0,2233,0,7304,0,859,0,4705,904,1131,2103,4715,0.65,945,400,162,81
78,78,78,78,78,78,36307,24561,0,2340,0,7497,0,886,0,4803,925,1157,2145,4802,0.65,962,400,164,82
79,79,79,79,79,79,38000,25706,0,2452,0,7693,0,914,0,4902,947,1184,2187,4891,0.65,979,400,166,83
80,80,80,80,80,80,39767,26901,0,2570,0,7893,0,942,0,5003,969,1211,2230,4980,0.65,995,400,168,84
81,81,81,81,81,81,41612,28149,0,2693,0,8098,0,972,0,5105,991,1239,2273,5070,0.65,1012,400,170,85
82,82,82,82,82,82,43536,29451,0,2822,0,8306,0,1002,0,5208,1013,1267,2317,5161,0.65,1029,400,172,86
83,83,83,83,83,83,45544,30809,0,2957,0,8518,0,1033,0,5312,1036,1295,2362,5253,0.65,1046,400,174,87
84,84,84,84,84,84,47640,32227,0,3098,0,8734,0,1065,0,5418,1059,1324,2407,5346,0.65,1064,400,176,88
85,85,85,85,85,85,49825,33705,0,3246,0,8955,0,1098,0,5525,1083,1354,2453,5440,0.65,1081,400,178,89
86,86,86,86,86,86,52104,35247,0,3402,0,9180,0,1131,0,5634,1107,1384,2499,5535,0.65,1099,400,180,90
87,87,87,87,87,87,54481,36854,0,3564,0,9409,0,1166,0,5744,1131,1414,2545,5631,0.65,1116,400,182,91
88,88,88,88,88,88,56958,38531,0,3734,0,9642,0,1201,0,5855,1156,1445,2593,5728,0.65,1134,400,184,92
89,89,89,89,89,89,59541,40277,0,3912,0,9880,0,1237,0,5968,1181,1477,2641,5826,0.65,1152,400,186,93
90,90,90,90,90,90,62232,42098,0,4099,0,10123,0,1275,0,6082,1207,1509,2689,5925,0.65,1170,400,188,94
91,91,91,91,91,91,65037,43995,0,4294,0,10370,0,1313,0,6198,1233,1541,2738,6025,0.65,1188,400,190,95
92,92,92,92,92,92,67958,45971,0,4498,0,10622,0,1352,0,6314,1259,1574,2788,6125,0.65,1206,400,192,96
93,93,93,93,93,93,71001,48030,0,4712,0,10879,0,1393,0,6433,1286,1608,2838,6227,0.65,1225,400,194,97
94,94,94,94,94,94,74170,50173,0,4937,0,11141,0,1434,0,6553,1313,1642,2889,6330,0.65,1243,400,196,98
95,95,95,95,95,95,77468,52405,0,5171,0,11407,0,1477,0,6674,1341,1677,2940,6434,0.65,1262,400,198,99
96,96,96,96,96,96,80902,54728,0,5417,0,11680,0,1520,0,6797,1369,1712,2992,6539,0.65,1281,400,200,100
97,97,97,97,97,97,84475,57145,0,5674,0,11957,0,1565,0,6921,1398,1747,3045,6645,0.65,1300,400,202,101
98,98,98,98,98,98,88193,59660,0,5943,0,12240,0,1611,0,7047,1427,1784,3098,6752,0.65,1319,400,204,102
99,99,99,99,99,99,92061,62276,0,6225,0,12528,0,1659,0,7174,1456,1821,3152,6860,0.65,1338,400,206,103
